,external_author_id,author,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,account_type,retweet,account_category,new_june_2018,alt_external_id,tweet_id,article_url,tco1_step1,tco2_step1,tco3_step1
739051,2495567768,DAILYSANFRAN,New Year’s Eve skyscraper fire in Dubai smolders into 2016  #news,United States,English,1/1/2016 14:41,1/1/2016 14:41,5255,13459,20201,,local,0,NewsFeed,0,2495567768,682934618983563264,http://twitter.com/DailySanFran/statuses/682934618983563264,,,
739052,2495567768,DAILYSANFRAN,MTC unveils new collectible Clipper cards in honor of Super Bowl 50  #news,United States,English,1/1/2016 14:47,1/1/2016 14:50,5255,13459,20202,,local,0,NewsFeed,0,2495567768,682936213548843008,http://twitter.com/DailySanFran/statuses/682936213548843008,,,
739053,2495567768,DAILYSANFRAN,Trump : ‘I have a very big lead and I intend to keep it”  #news,United States,English,1/1/2016 14:58,1/1/2016 14:58,5255,13459,20203,,local,0,NewsFeed,0,2495567768,682938949296259072,http://twitter.com/DailySanFran/statuses/682938949296259072,,,
739054,2495567768,DAILYSANFRAN,Presidential candidates differ on border wall with Mexico  #news,United States,English,1/1/2016 15:10,1/1/2016 15:10,5255,13459,20204,,local,0,NewsFeed,0,2495567768,682941955332935680,http://twitter.com/DailySanFran/statuses/682941955332935680,,,
739055,2495567768,DAILYSANFRAN,Camille Cosby ordered to give deposition in case against husband Bill  #news,United States,English,1/1/2016 15:13,1/1/2016 15:13,5255,13459,20205,,local,0,NewsFeed,0,2495567768,682942743652380672,http://twitter.com/DailySanFran/statuses/682942743652380672,,,
739056,2495567768,DAILYSANFRAN,Rose Parade to see ‘unprecedented’ amount of security  #news,United States,English,1/1/2016 15:43,1/1/2016 15:43,5255,13459,20207,,local,0,NewsFeed,0,2495567768,682950279684206593,http://twitter.com/DailySanFran/statuses/682950279684206593,,,
739057,2495567768,DAILYSANFRAN,"New laws in 2016 show states are diverging on guns, voting  #news",United States,English,1/1/2016 16:47,1/1/2016 16:49,5255,13459,20209,,local,0,NewsFeed,0,2495567768,682966426458566657,http://twitter.com/DailySanFran/statuses/682966426458566657,,,
739058,2495567768,DAILYSANFRAN,"Natalie Cole, daughter of jazz great Nat “King” Cole who carried on his legacy, has died  #news",United States,English,1/1/2016 17:13,1/1/2016 17:13,5255,13458,20210,,local,0,NewsFeed,0,2495567768,682972871983890433,http://twitter.com/DailySanFran/statuses/682972871983890433,,,
739059,2495567768,DAILYSANFRAN,Obama explores unilateral steps on guns  #politics,United States,English,1/1/2016 17:40,1/1/2016 17:40,5255,13459,20211,,local,0,NewsFeed,0,2495567768,682979609558663168,http://twitter.com/DailySanFran/statuses/682979609558663168,,,
739060,2495567768,DAILYSANFRAN,Clinton campaign says it raises $37M in fourth quarter  #politics,United States,English,1/1/2016 19:17,1/1/2016 19:17,5255,13459,20213,,local,0,NewsFeed,0,2495567768,683004230043475969,http://twitter.com/DailySanFran/statuses/683004230043475969,,,
739061,2495567768,DAILYSANFRAN,Three suffer graze wounds in two separate shootings  #news,United States,English,1/1/2016 19:43,1/1/2016 19:43,5255,13459,20214,,local,0,NewsFeed,0,2495567768,683010702731165696,http://twitter.com/DailySanFran/statuses/683010702731165696,,,
739062,2495567768,DAILYSANFRAN,San Francisco condor that helped save species returns to wild  #news,United States,English,1/1/2016 19:51,1/1/2016 19:52,5255,13459,20216,,local,0,NewsFeed,0,2495567768,683012814777155585,http://twitter.com/DailySanFran/statuses/683012814777155585,,,
739063,2495567768,DAILYSANFRAN,Tamir Rice protesters want Cleveland prosecutor to step down  #news,United States,English,1/1/2016 19:54,1/1/2016 19:54,5255,13459,20217,,local,0,NewsFeed,0,2495567768,683013480102809600,http://twitter.com/DailySanFran/statuses/683013480102809600,,,
739064,2495567768,DAILYSANFRAN,"New Year’s 2016: ‘Problematic,’ ‘So,’ ‘ secret sauce’ among list of misused and overused words  #news",United States,English,1/1/2016 1:10,1/1/2016 1:10,5256,13458,20174,,local,0,NewsFeed,0,2495567768,682730586079797249,http://twitter.com/DailySanFran/statuses/682730586079797249,,,
739065,2495567768,DAILYSANFRAN,State: Hundreds of old Clinton emails newly classified  #politics,United States,English,1/1/2016 1:22,1/1/2016 1:22,5256,13458,20175,,local,0,NewsFeed,0,2495567768,682733593152458752,http://twitter.com/DailySanFran/statuses/682733593152458752,,,
739066,2495567768,DAILYSANFRAN,"Review: A look back, and a technology wish list for 2016  #news",United States,English,1/1/2016 1:56,1/1/2016 1:56,5256,13457,20176,,local,0,NewsFeed,0,2495567768,682742173142364162,http://twitter.com/DailySanFran/statuses/682742173142364162,,,
739067,2495567768,DAILYSANFRAN,1976 Olympic champion boxer Howard Davis Jr. dies at 59  #news,United States,English,1/1/2016 20:01,1/1/2016 20:01,5255,13459,20218,,local,0,NewsFeed,0,2495567768,683015213726085123,http://twitter.com/DailySanFran/statuses/683015213726085123,,,
739068,2495567768,DAILYSANFRAN,Reaction to the death of Grammy-winning singer Natalie Cole  #news,United States,English,1/1/2016 20:04,1/1/2016 20:04,5255,13459,20219,,local,0,NewsFeed,0,2495567768,683016016352247808,http://twitter.com/DailySanFran/statuses/683016016352247808,,,
739069,2495567768,DAILYSANFRAN,Man attacks soldiers guarding French mosque with his car  #news,United States,English,1/1/2016 20:06,1/1/2016 20:06,5255,13459,20220,,local,0,NewsFeed,0,2495567768,683016405558509569,http://twitter.com/DailySanFran/statuses/683016405558509569,,,
739070,2495567768,DAILYSANFRAN,Some begin picking up pieces in Missouri after flooding  #news,United States,English,1/1/2016 20:30,1/1/2016 20:30,5255,13459,20221,,local,0,NewsFeed,0,2495567768,683022411030118400,http://twitter.com/DailySanFran/statuses/683022411030118400,,,
739071,2495567768,DAILYSANFRAN,The Latest: Obama starts the new year with golf  #politics,United States,English,1/1/2016 20:54,1/1/2016 20:54,5255,13460,20222,,local,0,NewsFeed,0,2495567768,683028435342508032,http://twitter.com/DailySanFran/statuses/683028435342508032,,,
739072,2495567768,DAILYSANFRAN,Guest lineups for the Sunday news shows  #politics,United States,English,1/1/2016 22:27,1/1/2016 22:27,5255,13461,20223,,local,0,NewsFeed,0,2495567768,683052031540477953,http://twitter.com/DailySanFran/statuses/683052031540477953,,,
739073,2495567768,DAILYSANFRAN,Bay Area Air Quality District issues Spare the Air Alert for Saturday  #news,United States,English,1/1/2016 23:34,1/1/2016 23:34,5255,13461,20224,,local,0,NewsFeed,0,2495567768,683068788393115648,http://twitter.com/DailySanFran/statuses/683068788393115648,,,
739074,2495567768,DAILYSANFRAN,21 achievable New Year’s resolutions for your health  #news,United States,English,1/1/2016 23:49,1/1/2016 23:49,5255,13461,20225,,local,0,NewsFeed,0,2495567768,683072590156447744,http://twitter.com/DailySanFran/statuses/683072590156447744,,,
739075,2495567768,DAILYSANFRAN,"New Year’s 2016: Clear skies in the forecast for Bay Area fireworks tonight, freeze-warning in effect  #news",United States,English,1/1/2016 2:20,1/1/2016 2:20,5256,13457,20177,,local,0,NewsFeed,0,2495567768,682748281340866560,http://twitter.com/DailySanFran/statuses/682748281340866560,,,
739076,2495567768,DAILYSANFRAN,Video: San Leandro police looking for serial robber  #news,United States,English,1/1/2016 2:47,1/1/2016 2:48,5256,13457,20178,,local,0,NewsFeed,0,2495567768,682755098036940800,http://twitter.com/DailySanFran/statuses/682755098036940800,,,
739077,2495567768,DAILYSANFRAN,"Klay Thompson scores 38 points, Golden State Warriors beat Houston Rockets 114-110  #news",United States,English,1/1/2016 2:55,1/1/2016 2:56,5256,13457,20179,,local,0,NewsFeed,0,2495567768,682757125945180161,http://twitter.com/DailySanFran/statuses/682757125945180161,,,
739078,2495567768,DAILYSANFRAN,Dungeness crab health advisory lifted along some parts of Central Coast  #news,United States,English,1/1/2016 3:17,1/1/2016 3:17,5256,13457,20181,,local,0,NewsFeed,0,2495567768,682762538975498242,http://twitter.com/DailySanFran/statuses/682762538975498242,,,
739079,2495567768,DAILYSANFRAN,Elderly man missing after failing to arrive at appointment in San Jose  #news,United States,English,1/1/2016 3:22,1/1/2016 3:22,5256,13457,20182,,local,0,NewsFeed,0,2495567768,682763860458090496,http://twitter.com/DailySanFran/statuses/682763860458090496,,,
739080,2495567768,DAILYSANFRAN,"Video: Another hoverboard fire reported Wednesday, this time in Los Angeles  #news",United States,English,1/1/2016 4:08,1/1/2016 4:09,5256,13459,20182,,local,0,NewsFeed,0,2495567768,682775500259901441,http://twitter.com/DailySanFran/statuses/682775500259901441,,,
